instituto,semestre,carrera,edad,sexo,res1,res2,res3,res4,res5,res6,res7,res8,res9,res10,categoria,resultado
I.T de Tuxtla Gutierrez,1,Sistemas,18,Hombre,1,2,2,5,4,2,5,5,5,5,4,36
I.T de Tuxtla Gutierrez,1,Sistemas,19,Hombre,3,2,2,4,3,4,1,3,4,2,3,28
I.T de Tuxtla Gutierrez,1,Sistemas,18,Hombre,3,4,4,3,1,5,2,2,4,5,4,33
I.T de Tuxtla Gutierrez,1,Sistemas,18,Hombre,5,4,2,3,4,5,4,3,2,3,4,35
I.T de Tuxtla Gutierrez,1,Sistemas,19,Hombre,4,3,3,4,3,5,3,3,4,4,4,36
I.T de Tuxtla Gutierrez,1,Gestion Empresarial,18,Hombre,3,2,1,3,2,5,4,2,5,5,4,32
I.T de Tuxtla Gutierrez,1,Sistemas,22,Hombre,2,3,3,3,2,4,4,3,4,4,4,32
I.T de Tuxtla Gutierrez,1,Sistemas,18,Hombre,2,2,2,2,1,1,3,1,3,2,2,19
I.T de Tuxtla Gutierrez,1,Sistemas,18,Hombre,3,2,2,3,2,5,4,1,5,5,4,32
I.T de Tuxtla Gutierrez,1,Sistemas,18,Hombre,1,1,1,2,3,1,1,1,4,3,2,18
I.T de Tuxtla Gutierrez,1,Sistemas,18,Hombre,2,2,2,1,1,5,3,2,5,5,3,28
I.T de Tuxtla Gutierrez,1,Sistemas,18,Hombre,3,3,2,3,2,4,2,2,5,4,3,30
I.T de Merida,1,Sistemas,19,Mujer,4,4,3,4,2,4,4,3,4,5,4,37
I.T de Merida,1,Sistemas,21,Hombre,3,3,3,2,2,3,5,5,3,5,4,34
I.T de Merida,1,Sistemas,20,Hombre,1,2,1,1,1,5,2,1,5,1,2,20
I.T de Merida,1,Sistemas,18,Hombre,3,2,1,1,1,5,1,1,5,1,3,21
I.T de Merida,1,Sistemas,18,Hombre,3,2,3,4,4,4,4,4,4,4,4,36
I.T de Merida,1,Electronica,18,Hombre,1,1,1,1,1,1,1,1,1,1,1,10
I.T de Merida,1,Sistemas,19,Hombre,1,1,1,1,1,4,1,1,5,1,2,17
I.T de Merida,1,Sistemas,19,Hombre,4,4,3,3,2,3,4,3,4,2,4,32
I.T de Merida,1,Sistemas,18,Hombre,2,4,4,2,5,5,5,2,5,4,4,38
I.T de Merida,1,Sistemas,18,Hombre,2,4,4,2,5,5,5,2,5,4,4,40
I.T de Merida,1,Sistemas,19,Hombre,1,1,1,1,1,1,1,1,1,1,1,10
I.T de Merida,1,Sistemas,19,Mujer,1,1,1,1,1,1,1,1,1,1,2,11
I.T de Merida,1,Sistemas,20,Hombre,3,4,2,3,1,4,2,2,5,2,3,28
I.T de Merida,1,Sistemas,19,Mujer,4,4,4,4,4,3,3,3,5,5,4,39
I.T de Merida,1,Sistemas,18,Mujer,1,2,3,4,3,5,1,1,5,1,3,26
I.T de Merida,1,Sistemas,20,Hombre,4,4,4,3,3,5,2,3,4,3,4,35
I.T de Merida,1,Sistemas,21,Hombre,2,3,2,2,1,4,1,1,4,1,3,21
I.T de Merida,1,Sistemas,19,Hombre,1,1,1,1,1,5,1,1,5,1,2,18
I.T de Merida,1,Sistemas,19,Hombre,3,4,4,3,3,4,2,2,4,4,4,33
I.T de Merida,1,Sistemas,19,Hombre,4,3,3,4,3,4,3,3,4,3,4,34
I.T de Merida,1,Sistemas,19,Hombre,3,3,2,3,3,4,4,3,5,5,4,35
I.T de Merida,1,Sistemas,24,Hombre,3,3,1,4,3,4,3,2,5,2,3,30
I.T de Merida,1,Sistemas,20,Mujer,1,1,1,1,1,1,1,1,1,1,1,10
I.T de Merida,1,Sistemas,19,Hombre,2,3,3,2,2,4,1,1,5,4,3,27
I.T de Merida,1,Sistemas,19,Hombre,1,1,1,1,1,5,1,1,4,1,2,17
I.T de Merida,1,Sistemas,19,Hombre,1,1,1,1,1,1,1,1,4,4,2,16
I.T de Merida,1,Sistemas,19,Hombre,2,2,3,1,1,1,1,1,1,3,2,16
I.T de Merida,1,Sistemas,19,Hombre,1,1,1,4,1,4,4,1,5,5,3,27
I.T de Merida,1,Sistemas,19,Hombre,3,2,3,4,4,3,4,2,5,3,4,33
I.T de Merida,1,Sistemas,19,Mujer,3,2,3,1,2,4,2,1,5,3,3,26
I.T de Merida,1,Sistemas,19,Hombre,1,2,2,2,2,1,1,1,5,5,3,22
I.T de Merida,1,Sistemas,19,Hombre,2,2,2,1,1,1,1,1,5,1,2,17
I.T de Merida,1,Sistemas,18,Hombre,5,4,4,2,1,5,3,2,5,4,4,35
I.T de Merida,1,Sistemas,19,Hombre,4,2,2,4,2,5,2,2,5,5,4,33
I.T de Merida,1,Sistemas,19,Hombre,3,3,3,3,2,4,3,2,5,4,4,32
I.T de Merida,1,Sistemas,19,Hombre,3,2,2,1,1,3,1,1,5,4,3,23
I.T de Tuxtla Gutierrez,1,Sistemas,19,Hombre,1,1,1,1,1,4,2,1,5,5,3,22
I.T de Merida,1,Sistemas,19,Hombre,3,2,2,1,1,5,1,1,5,1,3,22
I.T de Merida,1,Sistemas,18,Hombre,4,5,3,5,4,2,3,3,5,3,4,37
I.T de Merida,1,Sistemas,19,Mujer,4,3,2,3,1,4,3,2,5,1,3,28
I.T de Merida,1,Sistemas,18,Hombre,4,4,4,3,2,5,4,3,5,1,4,35
I.T de Merida,1,Sistemas,18,Hombre,1,2,1,2,1,4,1,1,4,5,3,22
I.T de Merida,1,Sistemas,19,Hombre,4,3,2,2,2,5,2,1,5,2,3,28
I.T de Merida,1,Sistemas,18,Hombre,4,4,4,3,1,4,1,3,4,1,3,29
I.T de Merida,1,Sistemas,18,Hombre,3,3,4,3,2,4,4,4,4,1,4,32
I.T de Merida,1,Sistemas,20,Mujer,3,4,4,4,4,3,4,4,3,4,4,37
I.T de Merida,1,Sistemas,18,Hombre,3,4,4,4,4,3,4,4,4,4,4,38
I.T de Tuxtla Gutierrez,1,Sistemas,19,Mujer,4,3,4,4,2,5,4,3,5,5,4,39
I.T de Merida,1,Sistemas,19,Hombre,1,1,1,2,1,5,3,2,4,3,3,23
I.T de Merida,1,Sistemas,18,Hombre,4,3,4,3,4,1,5,3,5,3,4,35
I.T de Merida,1,Sistemas,18,Hombre,1,3,1,1,1,4,4,1,5,5,3,26
I.T de Merida,1,Sistemas,19,Mujer,3,3,3,3,3,4,4,2,4,2,4,31
I.T de Merida,1,Sistemas,19,Hombre,3,3,3,3,3,3,3,3,3,3,3,30
I.T de Merida,1,Sistemas,19,Hombre,3,3,3,3,3,3,3,3,3,3,4,33
